run_id,algorithm,root_path,target_name,found,found_path,visited_dirs,visited_files,visited_entries,skipped_dirs,error_count,max_frontier_size,max_depth_seen,elapsed_ms
1,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,422.139330
2,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.614005
3,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.570673
4,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.462774
5,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.473819
6,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.512447
7,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.752625
8,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.711458
9,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.807561
10,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.871421
11,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.754531
